Name,Department,Date,Title,Review,Rating
Augenklinik - Dr. Hoffmann,Augen,28.01.2018,Genervte Mitarbeiter in der Anmeldung,"['Die Schwestern in der Anmeldung habe ich zum wiederholten Male als sehr unfreundlich (genervt) und anmaßend erlebt. Zum Teil wurden sogar Anweisungen der Ärzte nicht ausgeführt. Bei allem Respekt, dass täglich so viele Patienten behandelt werden, sollte man doch diesen Mitarbeitern einmal klar machen, dass sie es mit kranken Menschen zu tun haben und dass man ihnen Respekt zollt. Schließlich kommen diese Menschen nicht aus Jux und Tollerei in die Klinik. Der Ton den Assistenzärzten gegenüber lässt auch zu Wünschen übrig, so dass es den Patienten sogar peinlich ist. ', 'Alles in allem sehr schade. Denn die Ärtzte leisten tadellose Arbeit und diesen guten Ruf sollten sie sich nicht durch unmotivierte Mitarbeiter zunichtemachen lassen.']","['', '', 'Gesamtzufriedenheit:', 'zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'unzufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,31.10.2017,Immer wieder!,"['Ich habe die Klinik aufgesucht, um schnell eine Diagnose zu bekommen. Andere Augenärzte wollten einen Termin in 6 - 8 Monaten geben. Ich bin um 07.15 Uhr in der Klinik gewesen und so gegen 09.30 Uhr mit OP-Termin (grauer Star) wieder raus. Hätte es bis zum Abend gedauert, wäre es für mich auch ok gewesen. Schneller als ein Termin in 6 - 8 Monaten.', 'Am OP-Tag wurde ich abgeholt, war um 07.30 Uhr in der Klinik und so gegen 10.00 Uhr operiert. Ich empfand den gesamten Vorgang wie eine Fliesbandarbeit. Was aber nicht so schlimm war, es gab ja noch weitere Patienten und letztendlich hat es die Op nicht beeinflusst und darauf kam es mir an.   ', 'Die Unterbringung ist nicht gerade modern, aber reicht meines Erachtens aus. Verpflegung war gut und reichlich. Betreuung war auch gut und in allen Bereichen nett und höflich.', 'Ich kann wieder gut sehen und danke allen Beteiligten für die gute Arbeit.', 'Ich will nichts empfehlen, persönlich ist die Klinik mein Ansprechpartner. Sollte ich erneut eine OP benötigen - was ich nicht hoffe - dann bin ich wieder in dieser Klinik und vertraue auf erneute gute Behandlung!']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'zufrieden (Ich habe nicht nach einer Beratung gefragt und allein die Aussage, dass die Sehkraft wieder hergestellt werden kann, reichte mir.)', '', 'Mediz. Behandlung:', 'sehr zufrieden (So weit ich es beurteilen kann. Ich habe nämlich einen anderen Beruf und da könnte ich die Qualität einer Arbeit beurteilen.)', '', 'Verwaltung und Abläufe:', 'zufrieden (Hoher Andrang und trotzdem freundliche Behandlung.)', '', 'Ausstattung und Gestaltung:', 'zufrieden (Es kann immer besser sein. Ich habe mich eine Nacht wohl gefühlt.)', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,04.08.2017,OP      B ereich freundlich und zuvorkommend,"['In der Anmeldung ist Chaos...Nachdem ich 1 Std. im Wartezimmer saß, meldete ich mich erneut bei der Anmeldung und fragte, wie lange es dauere. Ich war zur 2. OP des Auges bestellt und sagte es nun auch..Die Dame daraufhin:  Sie müssen sagen, was sie wollen...Es stand auf der Überweisung.  Im OP-Bereich waren alle zuvorkommend und nett, in der Anmeldung total überfordert..']","['', '', 'Gesamtzufriedenheit:', 'zufrieden', '', 'Qualität der Beratung:', 'zufrieden', '', 'Mediz. Behandlung:', 'zufrieden', '', 'Verwaltung und Abläufe:', 'weniger zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,28.07.2017,Inkompetente Beratung,"['Hallo, telefonische Beratung war inkompetent. Ich habe einen Termin vereinbart und habe gefragt, was ich für meine Arbeitsuntersuchung brauche. Wenn aber ich schon in der Klinik war, habe ich erfahren, dass ich noch einige Unterlagen brauche, die ich natürlich dabei nicht hatte. Darüber hat mir telefonisch nichts gesagt. Und in der Klinik wusste die Beratung selbst nicht, welche Leistungen sie anbieten.', 'Ich war sehr enttäuscht und habe viel Zeit verloren.']","['', '', 'Gesamtzufriedenheit:', 'unzufrieden', '', 'Qualität der Beratung:', 'unzufrieden', '', 'Mediz. Behandlung:', 'unzufrieden (Habe nicht bekommen)', '', 'Verwaltung und Abläufe:', 'unzufrieden', '', 'Ausstattung und Gestaltung:', 'unzufrieden', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,23.04.2017,Hut ab!,"['Hut ab! ', 'Am 19. Februar 2017 kam ich als Notfall in die Klinik. Bereits am Empfang habe ich freundliche und kompetente Mitarbeiterinnen schätzen gelernt. Die verschiedenen Ärzte, die für meine baldige Genesung sorgten, kann ich nur über den Klee loben. Ich habe zwar keine weiteren Erfahrungen (Gott sei Dank), aber das ich so schnell wieder genesen bin schreibe ich den behandelnden Ärzten und den überaus freundlichen Pflegepersonal in diese positive Kritik.', 'Abschließend bedanke ich mich nochmals herzlich dafür, dass Sie mein linkes Auge retten konnten! Ich sehe inzwischen besser als zuvor!', 'Beste Grüße ', '', 'Rolf-Wilhelm Eimecke']","['', '', 'Gesamtzufriedenheit:', ""sehr zufrieden (Besser geht's nicht!)"", '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,08.11.2016,unzumutbare Wartezeiten,"['Ich bin an Diabetes erkrankt und habe leider auch schon Folgeschäden im Auge. Beide Augen sind betroffen. Auf beiden Augen ist Flüssigkeit auf der Netzhaut. Zusätzlich ist in dem Glaskörper des rechten Auges eine Blutung, welche sich bislang nicht von alleine zurückgebildet hat. Auch nicht nach einer sehr schmerzhaften Laserbehandlung mit etwa 500 Schuss. Hinzu kommt noch, das beide Linsen getrübt sind (Grauer Star).', 'Mir wurde in dieser Klinik immer gesagt, dass man die Linse nicht durch eine künstliche ersetzen kann, solange noch Flüssigkeit auf der Netzhaut ist. Das habe ich so hingenommen und habe entsprechende Injektionen und Lasereingriffe in beiden Augen durchführen lassen. (11 Spritzen links, 3 rechts)', 'Es ist immer mit einer erhöhten bis unzumutbaren Wartezeit verbunden. Die Terminvergabe ist zwar in dem Augenblick okay, wenn man sie erhält, doch dann bei dem Besuch zum Termin wundert man sich, wenn man drei, wier oder mehr Stunden warten muss. Ich für mich habe seit gestern die Nase gestrichen voll. Im Warteraum saßen über 20 Personen. Bereits operierte Personen, die Ruhe brauchten, aber auch auf den eingriff wartende Personen. Überwiegend sind es natürlich ältere Personen, die sich dort quälen müssen. Teilweise mussten sie stehen, da nicht mal ausreichend Platz zum sitzen vorhanden war. Eine ältere Person wartet seit 9 Uhr auf seinen Eingriff. Als ich mit meinem Termin um 11 Uhr ankam und das hörte, war ich erschrocken, dass man einen älteren Mann (ca 75 Jahre) dort solange warten lies. Bevor ich dann gegen 12.30 Uhr rankam, kam dieser Mann gerade geschwächt aus dem OP. Das ist nur ein Einzelfall. Ich selber habe die Klinik gegen 13.30 Uhr verlassen dürfen.', 'Es ist auch schon vorgekommen, dass man meine Gesundheitskarte der Krankenkasse gar nicht eingelesen hatte, eine Arbeitsunfähigkeitsbescheinigung falsch oder gar nicht ausgestellt hatte. Zu all den Sachen musste ich erneut in die Klinik fahren. Eines Tages wollte man nur ein Auge behandeln, aber man wollte mir beide Augen tropfen. Das zeigte mir erneut, wie durcheinander dort die Organisation ist. ', 'Nach den ganzen Quälerein hatte man mir dann einen Termin für eine größere OP im rechten Augen gegeben. Man wollte nun endlich mal eine Linse ersetzen und gleichzeitig den Glaskörper entfernen. Da habe ich mich entschlossen, mir eine zweite Meinung einzuholen und habe die Klinik gewechselt. Schade, dass ich nur 2000 Zeichen darf...']","['', '', 'Gesamtzufriedenheit:', 'unzufrieden (Alles in Allem habe ich mich hier als Patient nicht wohl gefühlt)', '', 'Qualität der Beratung:', 'unzufrieden (In einer anderen Klinik wurde ich ausführlicher über Eingriffmöglichkeiten informiert. In dieser Klinik wurde ich in Gegenwart anderer Patienten informiert und es wurden mir auch keine Behandlungsalternativen genannt.)', '', 'Mediz. Behandlung:', 'weniger zufrieden (Ich habe hier nur Injektionen ins Auge erhalten. Das war vollkommen okay. Jedoch trat keine Besserung ein.)', '', 'Verwaltung und Abläufe:', 'unzufrieden (Die Terminierung ist absolut indiskutabel. Der Empfang ist vollkommen überfordert.)', '', 'Ausstattung und Gestaltung:', 'unzufrieden (Die Räumlichkeiten sind veraltet. Der Wartebereich ist hoffnungslos überlaufen. Abläufe sind schlecht strukturiert, ebenso die Behandlungsreihenfolge der Patienten nicht die)', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,12.07.2016,Patienten und Probleme sind lästige Bremsklötze,"['Anbahnung und Voruntersuchung für eine Katarakt-OP bekam ich ohne Termin. Der Preis dafür war langes Warten zwischen den Untersuchungen. Das Ganze zog sich über ca. 4 Stunden. Auffallend war, dass das Personal keine Motivation(?) hatte, den Patienten jeweils darüber zu informieren, was gerade gemacht wird. Man bekam nur Anweisungen: Machen Sie dies, gehen Sie da. Niemand stellte sich vor. Am Ende stand ein halblegales Aufnahmegespräch mit einem Arzt(?). Es wurde Persönliches abgefragt, Vorerkrankungen, Allergien etc.. Ein Medikamentenname reichte als Info nicht, das führte zu langem Suchen in der Datenbank (hätte ich Dummerle mir nur den Wirkstoff gemerkt).', 'Der Arzt hielt mich wohl für einen armen Schlucker, denn es folgte weder eine Aufklärung über alle Möglichkeiten (verschiedenste Linsentypen, Lichtfilter, Multifokal, unterschiedliche Augeneinstellung) noch über die tatsächlichen Risiken und ihre Wahrscheinlichkeit. Es wurde kurz mein Beruf angesprochen und der Arzt entschied dann, was wohl das Beste für mich sei. Ich bekamm ein Faltblatt zur Unterschrift vorgehalten, auf dem ein paar aufgemalte Kreise wohl die größten Risiken markieren sollten. Mit meinen Augen konnte ich das fast nicht lesen!', 'Beim OP-Termin war die Abfertigung schnell, die nötigen Augentropfen bekamen alle Patienten schon im Warteraum, auch ein Fragebogen mit unlesbar kleiner Schrift war zu unterschreiben (Absicht?). Meiner Begleitung fiel noch eine besonders freundliche Behandlung für Privatpatienten auf. Die OP verlief dann ohne viele Worte. DEN OPERATEUR KONNTE ICH WEDER SEHEN, (war vor Augenabdeckung nicht da) NOCH HAT ER SICH VORGESTELLT. Geht gar nicht!', 'Danach: Tschüß! Kommen sie morgen wieder. Auch bei der Erstkontrolle keine Verhaltensregeln, nichts!', 'Als ich bei der Zweitkontrolle meine Probleme schilderte, wurde nicht darauf eingegangen, vertröstet und wir sehen Sie bei der zweiten OP - tschüß!. Die habe ich abgesagt und lasse nun ALLES durch einen Augenarzt überprüfen!']","['', '', 'Gesamtzufriedenheit:', 'unzufrieden (Fabrikabfertigung, Probleme unerwünscht)', '', 'Qualität der Beratung:', 'unzufrieden (keine Informationen über verschiedenste Behandlungsmöglichkeiten)', '', 'Mediz. Behandlung:', 'unzufrieden (Lichtirritationen nach nach 6 Wochen unverändert)', '', 'Verwaltung und Abläufe:', 'unzufrieden (Nachbetreuung gehetzt, telefonische Erreichbarkeit schlecht)', '', 'Ausstattung und Gestaltung:', 'zufrieden (zeitgemäße, moderne Geräte)', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,21.04.2016,Nie wieder.,"['Mein Freund liegt grad stationär in der Klinik und was da abläuft geht garnicht !!!!!!', '4 Tage nach der OP weiß er immer noch nicht, ob alles gut gegangen ist und was nun genau gemacht worden ist. Die Ärzte haben entweder keine Zeit oder jeder sagt was anderes. Der Arzt, der ihn operierte ist nicht greifbar und hat immer zutun. Genauso geht es seinen 2 Mitpatienten im Zimmer. er wurde bei im zig mal versucht den Augendruck zu messen, bis dann endlich einer merkte, das er eine Schutz Kontaktlinse trägt. Gestern sollte er heute entlassen werden. Heute wiederum erst in 2 Tagen - aber warum - keine Info. Mein Freund ist Diabetiker, aber das Essen da ist nicht Diabetiker geeignet, bzw. keiner kann sagen, was im Essen ist bzw. wieviel Kohlenhydrate es hat. Die Schwestern sind unfreundlich und immer nur genervt. Die Zimmer sind auf 70er Jahre Niveau.', 'Aber das schlimmste ist wirklich, daß keine Auskunft geben kann und will, was am Patienten gemacht worden ist und ob es gelungen ist. :-( ', 'Also mein Freund wird diesen Scheißladen nicht mehr aufsuchen!']","['', '', 'Gesamtzufriedenheit:', 'unzufrieden', '', 'Qualität der Beratung:', 'weniger zufrieden', '', 'Mediz. Behandlung:', 'unzufrieden', '', 'Verwaltung und Abläufe:', 'unzufrieden', '', 'Ausstattung und Gestaltung:', 'unzufrieden', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,17.03.2016,SCHLIMMER GEHT IMMER !!!!,"['Schlimmer geht immer.Ich war wegen meiner Hornhaut Verletzung zur Kontrolle und hatte schon eine Kontaktlinse im Rechten Auge zum Schutz der Hornhaut.Zwei Augenärzte haben sich mein Auge angeschaut und beide sagten das meine Kontaktlinse draussen sei und man mir wieder eine einsetzen möchte zum Schutz.', 'Tatsächlich haben die beiden Ärzte meine Kontaktlinse übersehen und ich hatte somit zwei Kontaktlinsen im Auge.Nach einem Tag sah ich alles Mega Unscharf.Bei meiner Augenärztin zurück (sie war im Urlaub)fragte sie mich wieso ich zwei Kontaktlinsen im Auge hätte?Die zweite Linse hatte in der Zeit schon Wellen geworfen.Soviel Inkompetenz Dummheit Blödheit passt in Braunschweig auf keinen Dampfer drauf.']","['', '', 'Gesamtzufriedenheit:', 'unzufrieden', '', 'Qualität der Beratung:', 'unzufrieden', '', 'Mediz. Behandlung:', 'unzufrieden', '', 'Verwaltung und Abläufe:', 'unzufrieden', '', 'Ausstattung und Gestaltung:', 'unzufrieden', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,08.11.2015,provessionelle und super Behandlung in der Klinik,"['in diesem Jahr wahr ich 2x zur Augenoperation in der Augenklinik Dr. Hoffmann.', 'Alle behandelnden Ärzte und Schwestern waren sehr freundlich, professionell und nahmen sich immer Zeit für mich.', 'Besonders angenehm war die Anästhesistin. Schon beim ersten Gespräch strahlte Frau Dr. Sicherheit Fürsorge und Vertrauen aus. Im O.P. war sie eine große Beruhigung für mich, ihre Betreuung war super!', 'herzlichen Dank an alle Ärzte und Schwestern, die mich auch in dieser Woche so professionell und liebevoll umsorgt haben.', '']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,21.06.2015,Gute Augenklinik,"['Wartezeit in der Regel 2 Stunden. Qualifizierte Untersuchungen und gute persönliche Beratung.', 'Gute Noten für Krankenhausbetrieb einschließlich Essen. Das erste Krankenhaus, in dem ich mich nicht unwohl gefühlt habe (3 Tage mit OP nach Netzhautablösung).', 'Sehr empfehlenswert.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'zufrieden (Anmeldung könnte besser (schneller) ablaufen)', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,13.04.2015,100 % sehfähig!,"['Sehr kompetente Beratung, keine lange Wartezeit! Intensive Untersuchung, schneller OP Termin und schmerzfreie Katarakt OP mit super Ergebnis. Mit Femtolaserbehandlung und Multifokallinse am Tag nach der OP schon 100% sehfähig! ', 'Bin gespannt wie es bei der Behandlung des 2. Auges geht!']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
Augenklinik - Dr. Hoffmann,Augen,29.01.2015,"kommt darauf an, was man hat und wer einen behandelt...","['Wenn man akut ein leichtes Augenproblem hat, ist die Klinik zu empfehlen, da man ohne Termin dran kommt. ', '', 'Aber: es muss viel Zeit mitgebracht werden. Stundenlanges Warten ist eher die Regel als die Ausnahme. Manchmal gilt dies leider auch in Notfällen, je nachdem, ob die Dame hinter der Anmeldung die Dringlichkeit auch erkennt (oder erkennen möchte).', '', 'Wenn man Glück hat, und zu einem der Chef-Ärtze vorgelassen wird, kann man sicher sein, kompetent und nett behandelt zu werden. Sonst ist es eher wie beim Roulette. Ich bin auch schon trotz ernsthafter Probleme unverrichteter Dinge wieder nach Hause geschickt worden...', '', 'Katarakt-OPs (grauer Star, neue Kunstlinse) kann man m. E. dort relativ problemlos machen lassen, mit dem üblichen Restrisiko. Die Klinik ist dort erfahren.', '', 'Auch schwierige Fälle (Netzhautriss, Netzhautablösung etc.) werden kompetent operiert, aber die OPs erfolgen m. E.nicht immer ausreichend zeitnah. Hier müsste dringend noch schneller reagiert werden.', '', 'Die Nachbehandlung ist qualitativ wieder sehr uneinheitlich, je nachdem, auf wen man trifft.', '', 'Die stationäre Unterbringung in der Klinik hat in vielen Bereichen noch den Charme der 70er Jahre (4-Bett-Zimmer, Duschen in zu geringer Zahl, Sanitäranlagen abgängig). Die Essensversorgung ist aber relativ gut (wenn auch kein Mittagessen zum Auswählen) und das Pflegepersonal größtenteils ganz nett.', '', 'Leider findet man nicht immer ausreichend schnell jemanden vom Pflegepersonal. Die Personaldecke scheint in diesem Bereich zu dünn zu sein.', '', 'Daher: ich kann die Klinik weder eindeutig empfehlen noch eindeutige Kritik üben. Wenn man in Braunschweig und Umgebung wohnt, ist es halt praktisch, dort hin zu gehen, und im Regelfall wird man auch kompetent behandelt. Aber ich habe halt auch schon das Gegenteil erlebt. ', '', 'Es gibt also noch Potential für die Klinik, sich zu verbessern - und ich habe den Eindruck, dass dies erkannt ist und dort daran auch gearbeitet wird.']","['', '', 'Gesamtzufriedenheit:', 'zufrieden (sehr zufrieden mit Chef-Ärzten, der Rest: na ja...)', '', 'Qualität der Beratung:', 'zufrieden (uneinheitlich, je nachdem, wer einen berät)', '', 'Mediz. Behandlung:', 'zufrieden (i. d. R. gut, aber nicht alle Ärzte gleich kompetent)', '', 'Verwaltung und Abläufe:', 'weniger zufrieden (lange Wartezeiten, auch bei Notfällen oft rel. unflexibel)', '', '', '']"
